Walletaddress,Tx count,percentage
0xa3820425C4C2F8235297b3CbdF42cBc788eD3bcc,1,0.03
0xBb09Bc9bB8445162d9577ed5242A9e640B85305f,1,0.03
0x8294Ec29452D908aEA3648aacE0D1b625b4e0991,1,0.03
0x7814D9dC295CaCe368cc3c48ED113F0bDD73651B,1,0.03
0xC0Df2BedB4F36E24Aa90A17EABD58330943F8aCE,4,0.13
0x9B9F1f289E6E7d1F7726B4df674b5e4beab94718,6,0.2
0xEFd1BD9eBdb1b37cf15b8E59F56df462CD828F68,1,0.03
0x384F696E5D6CAbC70a2E79E0a7442b2133F9AfA9,26,0.86
0x774D22801244c6Bf47a2d42109B90A8da9230a83,23,0.76
0x0a1E3eE321F2b45eF11cdAA308Ac2061AD3654dE,21,0.7
0x3f20507b5Ba41E214981ca05Cbb0B966Edf02cb7,26,0.86
0x734C9f6e3c844131B3767B33F5c699019b02Fe98,26,0.86
0xEA4df58820B5Aa351cB81Cc90f3179C53fFd9497,25,0.83
0xCA938510BbDa35416437B40821B21C7AA54789C7,24,0.79
0xCE33BcC3FC18b1A6688C1A0F95ce1A3998c5F52E,25,0.83
0xAD35a8B6ED7480ba8B615905AD7f6D74E3BCE34A,24,0.79
0x48c43D28c37CD57AD59833139F26Af069109E1f3,22,0.73
0x0602C0Dca34817A6Ce2843A3Add1f2Fa82F26B41,8,0.26
0xbDcb9eA80C91C86799b98630bfB9105476924347,7,0.23
0xeda0ad9475AA9A08e4c2E5325e4F1FdBF12525E1,4,0.13
0xeD3E4d07786e0123D96a2eB77009077e5f493840,1,0.03
0x86e6FA80a9a646D990da377e35d9D88699d78Eec,19,0.63
0x332ccd1b6b55f32c76CaB9734bfe6401f6461159,17,0.56
0x0140D434079De748d01b5D8f58aA6B6e6AEC556f,20,0.66
0x3EAa6e85C5BbAF41DA05CC2F45FF313a9569d515,20,0.66
0x9f376C0bCAC2DC2F93291E9d9d6624a7A9937BAC,17,0.56
0x70149769baBfDed962b4812c25867d4D699a1ee3,14,0.46
0x5a7b3e1925650fcCE95be712d47f70F9112C37f1,14,0.46
0x23bc4Dc9172d15Bbe02E57C0269EcD46c007EB95,5,0.17
0x44BB72a2e4627A95ad664233B6aAd3Ab708560D2,13,0.43
0xB777b1e4058fDE4944B83Ebf1A356C8A0bcCD590,23,0.76
0x1599e1EC58f53f816BCb8F96Bb5042A8304fd69c,15,0.5
0x3cec7357744396Fa779dBCE2d048C0457e1F6361,14,0.46
0xaEF2107171df6C962CE8976B64ceD8e03A734A81,16,0.53
0x293E70c941ae2F81Ca8168b77bb8aAF087543655,13,0.43
0xf080D35a6FBeE71Ec639A8971cc0EfC5a00d467e,12,0.4
0x359D1E3bCC6D753fe2548BC4d374c0F62B34CFF5,13,0.43
0x91b2F971B3029b2fcb63F90694275c7d3567182c,8,0.26
0x9bc1a6287c4C6696581d756cf35d4A7f6113FE4E,13,0.43
0x051c43078fbaF956833142Fd30454763e8aD0365,7,0.23
0xCd100b28cC300068585c36D0166f7F52199af700,4,0.13
0x0d6E3F47D195428DaC0bFeE1A580761C3f6Cec88,9,0.3
0x557fd6ef3128a4692341DCf473a39d9267E2424D,10,0.33
0x27C59b66D9db16eE6cb25575D62D8651DDF558ec,4,0.13
0xe10F96b27B27B11fB672d37308867d48775196E3,1,0.03
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,3,0.1
0x1F99D1Bc5dCD5A87c6bCB40655A7438F99B6B601,3,0.1
0x9EE75f7d03EA9bF8950dAf1082644d1b30F3d7FC,4,0.13
0x3729183468Be27AF92E5fbf559dafD33e51d99bD,3,0.1
0x49a0008DEd58fBd1754087Ae99b61A82EEf88DC7,1,0.03
0x78d43c740c3cD978b708C5104231A236B72A0087,3,0.1
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,2,0.07
0xd3Ae73F4fa5ba54Db8bfd8f80371351e49647EfD,7,0.23
Total,604,20.0
